country,group,year,units
angola,April,1990,50
bolivia,April,1990,123
brazil,April,1990,27286
burundi,April,1990,487
ecuador,April,1990,1504
indonesia,April,1990,7441
madagascar,April,1990,982
malawi,April,1990,105
papua new guinea,April,1990,963
paraguay,April,1990,131
peru,April,1990,937
rwanda,April,1990,535
timor-leste,April,1990,0
zimbabwe,April,1990,252
congo,July,1990,3
cuba,July,1990,414
dominican republic,July,1990,880
haiti,July,1990,393
philippines,July,1990,974
tanzania,July,1990,932
zambia,July,1990,23
cameroon,October,1990,1682
central african republic,October,1990,175
colombia,October,1990,14396
costa rica,October,1990,2562
cote d'ivoire,October,1990,2940
democratic republic of congo,October,1990,1580
el salvador,October,1990,2465
equatorial guinea,October,1990,4
ethiopia,October,1990,2909
gabon,October,1990,3
ghana,October,1990,38
guatemala,October,1990,3271
guinea,October,1990,44
guyana,October,1990,0
honduras,October,1990,1568
india,October,1990,2829
jamaica,October,1990,23
kenya,October,1990,1485
lao people's democratic republic,October,1990,0
liberia,October,1990,3
mexico,October,1990,4674
nepal,October,1990,0
nicaragua,October,1990,461
nigeria,October,1990,29
panama,October,1990,215
sierra leone,October,1990,43
sri lanka,October,1990,96
thailand,October,1990,757
togo,October,1990,161
trinidad & tobago,October,1990,15
uganda,October,1990,1955
venezuela,October,1990,1122
viet nam,October,1990,1310
yemen,October,1990,0
angola,April,1991,79
bolivia,April,1991,104
brazil,April,1991,27293
burundi,April,1991,667
ecuador,April,1991,2124
indonesia,April,1991,8493
madagascar,April,1991,933
malawi,April,1991,124
papua new guinea,April,1991,747
paraguay,April,1991,80
peru,April,1991,1200
rwanda,April,1991,484
timor-leste,April,1991,0
zimbabwe,April,1991,201
congo,July,1991,3
cuba,July,1991,302
dominican republic,July,1991,321
haiti,July,1991,463
philippines,July,1991,1018
tanzania,July,1991,790
zambia,July,1991,29
cameroon,October,1991,1726
central african republic,October,1991,125
colombia,October,1991,17980
costa rica,October,1991,2760
cote d'ivoire,October,1991,4129
democratic republic of congo,October,1991,1230
el salvador,October,1991,2198
equatorial guinea,October,1991,3
ethiopia,October,1991,2925
gabon,October,1991,2
ghana,October,1991,76
guatemala,October,1991,3497
guinea,October,1991,91
guyana,October,1991,0
honduras,October,1991,2322
india,October,1991,3000
jamaica,October,1991,39
kenya,October,1991,1514
lao people's democratic republic,October,1991,0
liberia,October,1991,3
mexico,October,1991,4727
nepal,October,1991,0
nicaragua,October,1991,707
nigeria,October,1991,44
panama,October,1991,193
sierra leone,October,1991,54
sri lanka,October,1991,82
thailand,October,1991,1469
togo,October,1991,433
trinidad & tobago,October,1991,18
uganda,October,1991,2088
venezuela,October,1991,941
viet nam,October,1991,1438
yemen,October,1991,0
angola,April,1992,78
bolivia,April,1992,120
brazil,April,1992,34603
burundi,April,1992,620
ecuador,April,1992,1185
indonesia,April,1992,5569
madagascar,April,1992,1122
malawi,April,1992,137
papua new guinea,April,1992,900
paraguay,April,1992,54
peru,April,1992,1762
rwanda,April,1992,639
timor-leste,April,1992,0
zimbabwe,April,1992,78
congo,July,1992,3
cuba,July,1992,284
dominican republic,July,1992,638
haiti,July,1992,500
philippines,July,1992,920
tanzania,July,1992,786
zambia,July,1992,29
cameroon,October,1992,260
central african republic,October,1992,134
colombia,October,1992,14947
costa rica,October,1992,2998
cote d'ivoire,October,1992,2246
democratic republic of congo,October,1992,1180
el salvador,October,1992,3001
equatorial guinea,October,1992,2
ethiopia,October,1992,1825
gabon,October,1992,3
ghana,October,1992,37
guatemala,October,1992,4318
guinea,October,1992,76
guyana,October,1992,0
honduras,October,1992,1918
india,October,1992,2823
jamaica,October,1992,26
kenya,October,1992,1316
lao people's democratic republic,October,1992,0
liberia,October,1992,3
mexico,October,1992,3401
nepal,October,1992,0
nicaragua,October,1992,547
nigeria,October,1992,49
panama,October,1992,197
sierra leone,October,1992,39
sri lanka,October,1992,53
thailand,October,1992,1255
togo,October,1992,86
trinidad & tobago,October,1992,14
uganda,October,1992,2185
venezuela,October,1992,1215
viet nam,October,1992,2340
yemen,October,1992,0
angola,April,1993,33
